Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude,mn_earn_wne_male1_p6,count_nwne_p8,count_wne_p8,mn_earn_wne_p8,md_earn_wne_p8,HI_INC_WDRAW_4YR_TRANS_YR4_RT
109730,2553500,25535,92101,0,1,1,1,32.7157,-117.1582,PrivacySuppressed,125,233,18900,15400,NULL
109785,111700,1117,91702-7000,0,1,1,3,34.1309,-117.888,46900,213,2087,49200,45800,0.039270687
109819,111800,1118,93305-1299,0,1,1,1,35.4108,-118.9735,32800,759,3003,30100,24900,PrivacySuppressed
109907,111900,1119,92311,0,1,1,2,34.8715,-117.0252,34400,296,875,30900,27600,PrivacySuppressed
109934,705000,7050,91950,0,1,1,1,32.6768,-117.0902,PrivacySuppressed,56,167,19800,17400,0
110060,3266300,32663,92801,0,1,1,3,33.8423,-117.9413,PrivacySuppressed,9,16,PrivacySuppressed,PrivacySuppressed,NULL
110097,112200,1122,90639-0001,0,1,1,3,33.9048,-118.0173,41500,167,1043,43000,37600,0.026066351
110185,112300,1123,93101,0,1,1,3,34.4186,-119.696,28300,269,1259,31600,26500,PrivacySuppressed
110194,2543400,25434,92805,0,1,1,1,33.819,-117.9064,PrivacySuppressed,24,83,47700,46800,0
110219,716400,7164,90010,0,1,1,2,34.0614,-118.3029,PrivacySuppressed,24,95,36400,35300,PrivacySuppressed
110246,807300,8073,95965-8399,0,1,1,1,39.6491,-121.6447,28700,788,2382,31500,26300,PrivacySuppressed
110307,2237200,22372,91311,0,1,1,4,34.2427,-118.5677,NULL,NULL,NULL,NULL,NULL,NULL
110316,1215400,12154,94103,0,1,1,3,37.7748,-122.4165,PrivacySuppressed,6,26,PrivacySuppressed,PrivacySuppressed,0
110334,112400,1124,95003,0,1,1,2,36.9891,-121.9279,30400,360,1255,36000,29600,PrivacySuppressed
110361,112500,1125,92504-3297,0,1,1,3,33.9286,-117.4259,42900,139,905,41500,36600,0.051490515
110370,112700,1127,94107-2247,0,1,1,3,37.8357,-122.2514,36700,100,421,36700,30900,PrivacySuppressed
110398,394700,3947,94102-4978,0,1,1,4,37.7807,-122.4154,107800,32,299,111000,98200,NULL
110404,113100,1131,91125,0,1,1,3,34.1393,-118.1257,PrivacySuppressed,14,100,72200,60100,0
110413,113300,1133,91360-2787,0,1,1,3,34.2256,-118.8795,40600,59,649,48100,44300,PrivacySuppressed
110422,114300,1143,93407,0,1,1,3,35.2989,-120.6586,53100,261,3017,60000,55400,0.010288066
110468,1111700,11117,92131-1799,0,1,6,3,32.8971,-117.0944,60400,63,405,55100,50700,0
11046801,1111707,11117,937271360,0,0,6,0,NULL,NULL,60400,63,405,55100,50700,0
11046802,1111705,11117,918031360,0,0,6,0,NULL,NULL,60400,63,405,55100,50700,0
